Active Ingredient,Disease/Use Case,Days Until Expiry,Storage Temperature (C),Dissolution Rate (%),Disintegration Time (minutes),Impurity Level (%),Assay Purity (%),Warning Labels Present,Safe/Not Safe,UPC,Quantity,Manufacturer,Batch Number,Price
Paracetamol,Allergy,916,18.96402072,86.61219272,5.557077402,1.490521314,94.11839485,1,Safe,541508000000,232,MediLife,BATCH6744,335.59
Ibuprofen,Blood Clot Prevention,1064,15.98480239,96.75638397,6.017381837,0.480202788,99.15413018,2,Safe,495925000000,275,CureWell,BATCH2900,311.96
Aspirin,Cancer,795,25.16990849,97.80294183,21.333705,1.1731358,97.10269645,3,Safe,558615000000,189,MediLife,BATCH7980,103.29
Amoxicillin,Blood Pressure,1038,19.67917676,96.73866174,16.73773239,0.799457602,97.50613081,3,Safe,910017000000,245,BioCare,BATCH8069,145.35
Metformin,Cancer,1045,27.80626999,99.44903308,15.21400154,1.084141782,98.79633503,3,Safe,540002000000,297,PharmaCorp,BATCH4415,189.95
Atorvastatin,Infection,778,15.8237448,99.384313,23.10763356,0.888207523,99.58718942,1,Safe,419800000000,136,BioCare,BATCH1442,125.12
Omeprazole,Bacterial Infection,945,26.22030434,95.65391849,19.36017557,0.824372835,97.19504326,2,Safe,475095000000,159,CureWell,BATCH7218,159.68
Cetirizine,Blood Clot Prevention,902,19.26457813,91.96458442,24.25371467,1.396114876,98.33659148,1,Safe,525815000000,275,BioCare,BATCH5652,170.42
Lisinopril,Allergy,1035,21.60303739,92.62640578,23.09029372,1.072734216,93.34498556,4,Safe,751336000000,127,BioCare,BATCH8939,201.05
Ciprofloxacin,Blood Clot Prevention,1016,24.80501388,90.2138562,11.7786592,1.155209,93.52487237,4,Safe,740192000000,296,BioCare,BATCH8833,387.23
Doxycycline,Bacterial Infection,1075,25.45070982,91.5102586,9.939400687,0.198995959,96.64007346,3,Safe,107396000000,180,CureWell,BATCH8597,307.36
Clarithromycin,Blood Pressure,1010,16.82327128,85.28832386,8.430806908,0.881781449,95.76249487,1,Safe,258917000000,213,BioCare,BATCH5458,493.81
Simvastatin,Seizures,936,17.06395931,86.26047123,19.7223122,1.003837448,99.74099742,1,Safe,924600000000,139,MediLife,BATCH7591,236.63
Losartan,Bacterial Infection,845,20.6702294,96.41461801,24.08212719,1.180807971,97.48814256,2,Safe,188551000000,144,CureWell,BATCH3309,389.24
Levothyroxine,Seizures,935,28.49077284,93.56962494,16.54474452,0.896486706,92.4013343,3,Safe,974505000000,161,BioCare,BATCH7268,442.16
Prednisone,Heart Health,754,21.13656806,90.68787685,7.135693522,0.415236253,95.41334977,1,Safe,190225000000,192,CureWell,BATCH1910,355.54
